Organization Name,Date(s) of Breach,End of Breach,Reported Date,Number of Potentially Affected Delaware Residents,Sample of Notice
"Checkers Drive in Restaurants, Inc",10//2018 ,19-Apr,5/29/2019,Unknown,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/07/Checkers-Drive-In-Restaurants-Inc-Substitute-Notice-FINAL.pdf
"Animoto, Inc",7/10/2018,,8/16/2018,"8,842",https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/08/Animoto-Inc.-Data-Breach-notice.pdf
"ATI Holdings, LLC",01/09/18; 02/26/18,1/12/2018; 3/15/2018,6/21/2018,"4,272",https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/07/ATI-Holdings-LLC-Sample-Notice.pdf
Bankers Life,5/30/2018,9/13/2018,10/25/2018," 9,451",https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/11/GEN1-and-GEN2-Notices.pdf
Brinker International,18-Mar,18-Apr,5/18/2018,Unknown,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/05/Brinker-Chilis-Data-Breach-Notice.pdf
Capitol One,3/22/2019,3/23/2019,8/8/2019, 275,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/08/Capital_One_DSE_191404_notice_samples.pdf
"CBL Path, Inc",3/21/2019,,7/15/2019," 2,360",https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/07/CBLPath-Notification-Letters-Enclosure.pdf
CBS Interactive,1/1/2018,5/16/2018,5/25/2018,847,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/06/CBS-Interactive-Sample-Notice.pdf
Cheddar's Scratch Kitchen,11/3/2018,1/2/2018,8/22/2018,Unknown,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/08/Cheddars-Notification.pdf
CNG Financial Corp,07/11/18-07/16/18,,8/15/2018,"2,635",https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/08/CNG-Financial-Corp-Sample-Notice.pdf
"ComplyRight, Inc",4/20/2018,5/22/2018,7/12/2018,888,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/08/ComplyRight-Sample-Notice.pdf
"CPT Group, Inc",11/22/2017,12/8/2017,5/8/2018,690,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/06/CPT-Group-Sample-Notice.pdf
"Delta Air Lines, Inc",9/26/2017,10/12/2017,4/11/2018,763,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/05/Delta-Airlines-Data-Breach-Sample-Consumer-Notice.pdf
Dominion National,8/25/2010,3/31/2019,6/21/2019,"95,781",https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/Dominion-National-Master-Producer-and-Provider-Notices.pdf
"Drury Hotels Company, LLC",12/29/2017,3/13/2019,5/24/2019, 6,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/07/Drury-Sample-Notice.pdf
Earl Enterprises,5/23/2018,3/18/2019,3/29/2019,Unknown,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/Earl-Enterprises-Website-and-Media-Notice.pdf
"Elmcroft Senior Living, Inc",5/10/2018,5/12/2018,6/8/2018,30,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/06/Elmcroft-Senior-Living-Sample-Notice.pdf
"Evite, Inc",2/22/2019,4/1/2019,6/10/2019,"40,787",https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/07/Customer-Notice-Evite.pdf
EyeBuyDirect,9/1/2018,9/28/2019,10/11/2019,"2,817",https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/10/EyeBuyDirect-Exhibit-A-EBD-Notification-to-Group-1-Customers.pdf
Foxit Software,Unknown,,8/30/2019,Unknown,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/09/Foxit-Sample-Notice.pdf
Georgia Institute of Technology,12/14/2018,3/22/2019,8/13/2019,"3,146",https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/09/GT_Sample_Notice.pdf
Hartford Life and Accident Ins. Co,19-Feb,,2/8/2019,1393,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/Notice-to-Consumers-The-Hartford.pdf
Hudson's Bay Company,7/1/2017,3/31/2018,4/26/2018,Unknown,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/05/Hudsons-Bay-Company-Data-Breach-Sample-Notice.pdf
"Inmediata Health Group, Corp.", 1/2019,,4/30/2019,"1,027",https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/Inmediata-Ad-No-SSN-r3fin.pdf; https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/Inmediata-Ad-No-SSN-Spanish-r1fin.pdf; https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/Inmediata-Ad-SSN-r4fin.pdf; https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/Inmediata-Ad-SSN-Spanish-r1fin.pdf
Jand Inc d/b/a/Warby Parker,25-Sep,11/26/2018,12/20/2018,Unknown,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/02/WarbyParker.pdf
"Key West Hotels, LLC. d/b/a The Key Ambassador Resort Inn",2/7/2018,12/13/2018,4/2/2019,1,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/Key-West-Hotels-Consumer-Notice.pdf
Lyons Companies,2/4/2019,3/12/2019,8/23/2019,"5,067",https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/09/Lyons-Companies-Sample-Notice-1.pdf
MedEvolve,03/29/18-05/4/18,,7/10/2018,"10,565",https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/08/Medevolve-sample-letter.pdf
"Mediant Communications, Inc",4/1/2019,,5/31/2019,559,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/07/Mediant-Sample-Notice.pdf
"MyHeritage, Ltd.",10/26/2017,,6/15/2018,Unknown,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/06/MyHeritage-Sample-Notice.pdf
Oklahoma Dept. of Securities (ODS),11/29/2018,12/11/2018,6/20/2019,508,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/07/ODS-Notice-of-Data-Event-00000002.pdf
Performance Food Group,Unknown,,9/19/2018,575,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/09/Performance-Food-Group-Notice.pdf
Pie Five Pizza,9/7/2018,12/2/2018,4/5/2019,Unknown,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/Pie-Five-Pizza-Sample-Notice.pdf
RS Medical,2/11/2019,212/19,4/5/2019,1,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/RS-Medical-Customer-Breach-Notification-Letter.pdf
SEIU Local 32BJ,11/13/2017,11/14/2017,5/26/2018,"1,015",https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/06/SEUI-Local-32BJ-Sample-Notice.pdf
ShareThis Inc,18-Jul,,2/28/2019,Unknown,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/ShareThis-Consumer-Notice.pdf
Sprint Business,6/8/2019,6/22/2019,7/11/2019,"1,930",https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/07/Sprint-Sample-Notice.pdf
"Starr Insurance Holdings, Inc",4/24/2018,,5/24/2018,1,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/06/Starr-Insurance-Holdings-Sample-Notice.pdf
